Month,R
2008-09-01,6
2008-11-01,1
2008-12-01,1
2009-01-01,8
2009-02-01,8
2009-03-01,4
2009-04-01,12
2009-05-01,2
2009-06-01,5
2009-07-01,50
2009-08-01,47
2009-09-01,138
2009-10-01,73
2009-11-01,94
2009-12-01,80
2010-01-01,94
2010-02-01,122
2010-03-01,139
2010-04-01,160
2010-05-01,139
2010-06-01,176
2010-07-01,233
2010-08-01,283
2010-09-01,236
2010-10-01,214
2010-11-01,241
2010-12-01,223
2011-01-01,249
2011-02-01,322
2011-03-01,422
2011-04-01,474
2011-05-01,425
2011-06-01,442
2011-07-01,453
2011-08-01,586
2011-09-01,612
2011-10-01,619
2011-11-01,605
2011-12-01,613
2012-01-01,690
2012-02-01,811
2012-03-01,888
2012-04-01,838
2012-05-01,873
2012-06-01,973
2012-07-01,1117
2012-08-01,1088
2012-09-01,1057
2012-10-01,1267
2012-11-01,1345
2012-12-01,1213
2013-01-01,1506
2013-02-01,1656
2013-03-01,1846
2013-04-01,1834
2013-05-01,1777
2013-06-01,1773
2013-07-01,1963
2013-08-01,1915
2013-09-01,1709
2013-10-01,2086
2013-11-01,2185
2013-12-01,1905
2014-01-01,2345
2014-02-01,2617
2014-03-01,2798
2014-04-01,2729
2014-05-01,2576
2014-06-01,2396
2014-07-01,2631
2014-08-01,2468
2014-09-01,2357
2014-10-01,2765
2014-11-01,2700
2014-12-01,2356
2015-01-01,2681
2015-02-01,2964
2015-03-01,3558
2015-04-01,3321
2015-05-01,3420
2015-06-01,3430
2015-07-01,3981
2015-08-01,3493
2015-09-01,3329
2015-10-01,3679
2015-11-01,3538
2015-12-01,3178
2016-01-01,3534
2016-02-01,3587
2016-03-01,4041
2016-04-01,4125
2016-05-01,3796
2016-06-01,3860
2016-07-01,3745
2016-08-01,3782
2016-09-01,3300
2016-10-01,3786
2016-11-01,3558
2016-12-01,3149
2017-01-01,3486
2017-02-01,3673
2017-03-01,4600
2017-04-01,4262
2017-05-01,4313
2017-06-01,4445
2017-07-01,4577
2017-08-01,4566
2017-09-01,4220
2017-10-01,4542
2017-11-01,4501
2017-12-01,3713
2018-01-01,4198
2018-02-01,4499
2018-03-01,5103
2018-04-01,4728
2018-05-01,4731
2018-06-01,4482
2018-07-01,4405
2018-08-01,4100
2018-09-01,3749
2018-10-01,4353
2018-11-01,4223
2018-12-01,3397
2019-01-01,3941
2019-02-01,4243
2019-03-01,4486
2019-04-01,4593
2019-05-01,4293
2019-06-01,3941
2019-07-01,4196
2019-08-01,3948
2019-09-01,3933
2019-10-01,4378
2019-11-01,4280
2019-12-01,3737
2020-01-01,4142
2020-02-01,4669
2020-03-01,5117
2020-04-01,6166
2020-05-01,6006
2020-06-01,5432
2020-07-01,4935
2020-08-01,4494
2020-09-01,4751
2020-10-01,5065
2020-11-01,4803
2020-12-01,4336
2021-01-01,4338
2021-02-01,4322
2021-03-01,5168
2021-04-01,4793
2021-05-01,4663
2021-06-01,4277
2021-07-01,4043
2021-08-01,4032
2021-09-01,3899
2021-10-01,4172
2021-11-01,4027
2021-12-01,3538
2022-01-01,3841
2022-02-01,3910
2022-03-01,4482
2022-04-01,4175
2022-05-01,4134
2022-06-01,3887
2022-07-01,3664
2022-08-01,3785
2022-09-01,3540
2022-10-01,3912
2022-11-01,4004
2022-12-01,3215
2023-01-01,3259
2023-02-01,3337
2023-03-01,3815
2023-04-01,3090
2023-05-01,2858
2023-06-01,2654
2023-07-01,2359
2023-08-01,2358
2023-09-01,2038
2023-10-01,2066
2023-11-01,1998
2023-12-01,1608
2024-01-01,1836
2024-02-01,1652
